"id","model","box_loss","configuration","epochs","precision","recall","map50","map50_95","fused_params_m","fused_gflops","train_time_h","run_name","notes"
"11","YOLO26-P2","ciou","none","100","0.436","0.341","0.312","0.179","2.403","6.5","2.121","11_yolo26n_p2_baseline_ciou_lab4090_e100","RTX 4090D official baseline best.pt validation result"
"13","DHF-YOLO26-P2","ciou","SPDConv + C3k2-DHF + HDFM-v2","100","0.468","0.353","0.335","0.193","2.631","9.9","2.646","13_dhf_yolo26n_p2_ciou_lab4090_e100-2","RTX 4090D best.pt validation result"
"14","YOLO26","ciou","no P2 head","100","0.423","0.315","0.292","0.161","2.377","5.2","0.983","14_yolo26n_no_p2_ciou_lab4090_e100","RTX 4090D best.pt revalidation result"
"15","SPD-YOLO26-P2","ciou","only SPDConv","100","0.443","0.344","0.318","0.183","2.527","8.6","2.153","15_spd_yolo26n_p2_ciou_lab4090_e100","RTX 4090D best.pt revalidation result"
"16","DHFBLOCK-YOLO26-P2","ciou","only C3k2-DHF","100","0.447","0.352","0.325","0.188","2.457","7.4","2.444","16_dhfblock_yolo26n_p2_ciou_lab4090_e100","RTX 4090D best.pt validation result"
"17","HDFM-YOLO26-P2","ciou","only HDFM-v2","100","0.440","0.347","0.317","0.181","2.453","6.9","2.324","17_hdfm_yolo26n_p2_ciou_lab4090_e100","RTX 4090D best.pt validation result"
"18","DHF-YOLO26-P2","ciou","SPDConv + C3k2-DHF + HDFM-v2","300","0.477","0.373","0.354","0.207","2.631","9.9","7.983","18_dhf_yolo26n_p2_ciou_lab4090_e300","RTX 4090D best.pt validation result"
"19","YOLO26-P2","ciou","none","300","0.458","0.361","0.333","0.195","2.403","6.5","6.447","19_yolo26n_p2_baseline_ciou_lab4090_e300","RTX 4090D official baseline 300 epoch best.pt validation result"
"20","DHFBLOCK-YOLO26-P2","ciou","only C3k2-DHF","222","0.475","0.369","0.346","0.201","2.573","8.5","5.500","20_dhfblock_yolo26n_p2_ciou_lab4090_e300","RTX 4090D early-stopped at epoch 222 after convergence plateau; best epoch 179"
"21","DHF-YOLO26-P2","mpdiou","SPDConv + C3k2-DHF + HDFM-v2","100","0.452","0.358","0.333","0.192","2.631","9.9","2.656","21_dhf_yolo26n_p2_mpdiou_lab4090_e100","RTX 4090D orthogonal loss validation; MPDIoU did not surpass CIoU under current 100-epoch setting"
"22","DHFv2-YOLO26-P2","ciou","SPDConv + C3k2-DHFv2 + HDFM-v2","100","0.447","0.358","0.328","0.189","2.640","10.0","2.657","22_dhfv2_yolo26n_p2_ciou_lab4090_e100","RTX 4090D final validation result; dual-context upgrade did not surpass DHF v1"
"23","DHF-YOLO26-P2","nwd","SPDConv + C3k2-DHF + HDFM-v2","100","0.475","0.353","0.333","0.181","2.631","9.9","2.644","23_dhf_yolo26n_p2_nwd_lab4090_e100_rerun","RTX 4090D orthogonal loss validation; NWD best epoch 89 with mAP50 0.33295 and mAP50-95 0.18139"
"24","DHF-YOLO26-P2","nwd","SPDConv + C3k2-DHF + HDFM-v2","300","0.499","0.359","0.348","0.195","2.631","9.9","","24_dhf_yolo26n_p2_nwd_lab4090_e300","RTX 4090D orthogonal loss validation; 300 epoch final result, best epoch 284, improved over NWD-100 but still below DHF+CIoU+300 and only roughly ties baseline P2+CIoU+300 on mAP50-95"
